subject,session,run,status,rows_count,rowe_count,expected_count,pre_chapter_rows_count,pre_chapter_rowe_count,reason
sub-04,ses-LittlePrince,1,ok,395,395,395,2,3,
sub-04,ses-LittlePrince,2,ok,383,383,383,0,0,
sub-04,ses-LittlePrince,3,ok,328,328,328,0,0,
sub-04,ses-LittlePrince,4,ok,415,415,415,0,0,
sub-04,ses-LittlePrince,5,ok,181,181,181,0,0,
sub-04,ses-LittlePrince,6,ok,367,367,367,0,0,
sub-04,ses-LittlePrince,7,ok,428,428,428,0,0,
sub-05,ses-LittlePrince,1,ok,395,395,395,2,3,
sub-05,ses-LittlePrince,2,ok,383,383,383,0,0,
sub-05,ses-LittlePrince,3,ok,328,328,328,0,0,
sub-05,ses-LittlePrince,4,ok,415,415,415,0,0,
sub-05,ses-LittlePrince,5,ok,181,181,181,0,0,
sub-05,ses-LittlePrince,6,ok,367,367,367,0,0,
sub-05,ses-LittlePrince,7,ok,428,428,428,0,0,
sub-06,ses-LittlePrince,1,ok,395,395,395,2,3,
sub-06,ses-LittlePrince,2,ok,383,383,383,0,0,
sub-06,ses-LittlePrince,3,ok,328,328,328,0,0,
sub-06,ses-LittlePrince,4,ok,415,415,415,0,0,
sub-06,ses-LittlePrince,5,ok,181,181,181,0,0,
sub-06,ses-LittlePrince,6,ok,367,367,367,0,0,
sub-06,ses-LittlePrince,7,ok,428,428,428,0,0,
sub-07,ses-LittlePrince,1,ok,395,395,395,2,3,
sub-07,ses-LittlePrince,2,ok,383,383,383,0,0,
sub-07,ses-LittlePrince,3,ok,328,328,328,0,0,
sub-07,ses-LittlePrince,4,ok,415,415,415,0,0,
sub-07,ses-LittlePrince,5,ok,181,181,181,0,0,
sub-07,ses-LittlePrince,6,ok,367,367,367,0,0,
sub-07,ses-LittlePrince,7,ok,428,428,428,0,0,
sub-08,ses-LittlePrince,1,ok,395,395,395,2,3,
sub-08,ses-LittlePrince,2,ok,383,383,383,0,0,
sub-08,ses-LittlePrince,3,ok,328,328,328,0,0,
sub-08,ses-LittlePrince,4,ok,415,415,415,0,0,
sub-08,ses-LittlePrince,5,ok,181,181,181,0,0,
sub-08,ses-LittlePrince,6,ok,367,367,367,0,0,
sub-08,ses-LittlePrince,7,ok,428,428,428,0,0,
sub-09,ses-LittlePrince,4,ok,415,415,415,0,0,
sub-09,ses-LittlePrince,5,ok,181,181,181,0,0,
sub-09,ses-LittlePrince,6,ok,367,367,367,0,0,
sub-09,ses-LittlePrince,7,ok,428,428,428,0,0,
sub-10,ses-LittlePrince,1,ok,395,395,395,1,2,
sub-10,ses-LittlePrince,2,ok,383,383,383,0,0,
sub-10,ses-LittlePrince,3,ok,328,328,328,0,0,
sub-10,ses-LittlePrince,4,ok,415,415,415,0,0,
sub-10,ses-LittlePrince,5,ok,181,181,181,0,0,
sub-10,ses-LittlePrince,6,ok,367,367,367,0,0,
sub-10,ses-LittlePrince,7,ok,428,428,428,0,0,
sub-13,ses-LittlePrince,1,ok,395,395,395,2,3,
sub-13,ses-LittlePrince,2,ok,383,383,383,0,0,
sub-13,ses-LittlePrince,3,ok,328,328,328,0,0,
sub-13,ses-LittlePrince,4,ok,415,415,415,0,0,
sub-13,ses-LittlePrince,5,ok,181,181,181,0,0,
sub-13,ses-LittlePrince,6,ok,367,367,367,0,0,
sub-13,ses-LittlePrince,7,ok,428,428,428,0,0,
sub-14,ses-LittlePrince,1,ok,395,395,395,1,2,
sub-14,ses-LittlePrince,2,ok,383,383,383,0,0,
sub-14,ses-LittlePrince,3,ok,328,328,328,0,0,
sub-14,ses-LittlePrince,4,ok,415,415,415,0,0,
sub-14,ses-LittlePrince,5,ok,181,181,181,0,0,
sub-14,ses-LittlePrince,6,ok,367,367,367,0,0,
sub-14,ses-LittlePrince,7,ok,428,428,428,0,0,
